 1 59 26 43  13 14 22 0 0 0 0 0 0 0 0 0 0 0.001  0.00   0.0 24.750 19 3.9  6.3 15 5 14 20 552 98  3  4
 2 35 12 24  -6 14 41 0 0 1 0 0 0 0 0 1 0     0  0.01   0.1 24.865  4 0.7  5.0 16 1 14 36 467 83  7  6
 3 21 14 18 -12 16 47 0 0 1 0 0 0 0 0 0 0 0.001  0.05   0.7 24.860  3 1.9  3.4 14 1 10 36   1  0 10 10
 4 28 16 22  -8 17 43 0 1 0 0 0 0 0 0 1 0 0.001  0.00   0.0 24.560  3 1.1  2.9 10 5  6 14 127 22  9  7
 5 42 15 29   0 17 36 0 0 0 0 0 0 0 0 0 0 0.001  0.00   0.0 24.640  8 4.3  6.3 21 3 13  7 317 56  6  4
 6 44 10 27  -2 14 38 0 1 0 0 0 0 0 0 0 0 0.001  0.00   0.0 24.800  4 2.1  3.8 16 1 12  1 494 87  0  0
 7 55  8 32   3  8 33 0 1 0 0 0 0 0 0 0 0 0.001  0.00   0.0 24.690 15 2.6  5.3 15 4 12 21 477 84  7  4
 8 49 21 35   6 13 30 0 0 0 0 0 0 0 0 0 0     0  0.00   0.0 24.675 22 0.9  7.3 29 8 17 29 439 77  2  3
 9 37 15 26  -3 16 39 0 0 0 0 0 0 0 0 0 0     0  0.00   0.0 24.700 22 0.4  4.0 12 1  9 36 214 37 10  8
10 50 14 32   3 15 33 0 0 0 0 0 0 0 0 0 0     0  0.00   0.0 24.630 12 3.1  5.1 21 3 14  7 489 85  1  2
11 48 19 34   5 11 31 0 0 0 0 0 0 0 0 0 0     0  0.00   0.0 24.790 24 1.6  6.7 24 8 15 32 485 84  1  1
12 55 26 41  12 15 24 0 0 0 0 0 0 0 0 0 0     0  0.00   0.0 24.705 24 7.1  9.9 31 7 22 29 437 76  4  3
13 55 32 44  15 17 21 0 0 0 0 0 0 0 0 0 0     0 0.001 0.001 24.610 26 3.7  6.9 40 7 29 29 198 34 10  8
14 46 23 35   6 22 30 0 0 0 0 0 0 0 0 0 0     0 0.001 0.001 24.640  4 0.7  6.0 23 2 14  5 325 56  6  5
15 43 22 33   4 16 32 0 0 0 0 0 0 0 0 0 0     0  0.06   0.8 24.540  9 1.0  6.2 18 8 13 33  20  3  9  8
16 39 20 30   1 23 35 0 0 1 0 0 0 0 0 0 0     2  0.10   2.1 24.770 33 1.3  4.5 21 1 14  1 281 48  7  6
17 42 15 29   0 16 36 0 0 0 0 0 0 0 0 0 0     2  0.00   0.0 24.780 18 2.2  3.8 14 5  8 19 302 52  9  5
18 51 21 36   7 15 29 0 0 0 0 0 0 0 0 0 0 0.001  0.00   0.0 24.680 18 7.0  7.2 20 5 15 19 582 99  1  0
19 50 18 34   5 20 31 0 1 0 0 0 0 0 0 0 0 0.001  0.23   4.6 24.550  4 4.5 10.0 31 1 23  6  83 14  9  7
20 31  6 19 -10  9 46 0 1 0 0 0 0 0 0 0 0     4  0.03   0.3 24.840 16 3.1  4.0 15 4  7 18 550 94  1  4
21 32  6 19 -10  8 46 0 0 0 0 0 0 0 0 0 0     3  0.00   0.0 24.760 17 3.2  4.4 17 5 10 19 537 91  1  2
22 36 17 27  -2 10 38 0 0 0 0 0 0 0 0 0 0     2  0.00   0.0 24.550 17 5.0  6.5 17 5 14 19 376 64  5  3
23 27  9 18 -12 14 47 0 0 0 0 0 0 0 0 0 0     2  0.07   0.7 24.660 14 1.2  7.9 23 1 16  1 174 29  9  6
24 37  8 23  -7  9 42 0 0 0 0 0 0 0 0 0 0     3  0.02   0.2 24.570 11 1.0  4.7 23 1 18 36 309 52  8  6
25 24 -1 12 -18  6 53 0 1 0 0 0 0 0 0 0 0     5  0.07   1.9 24.770  5 2.2  4.3 20 1 15  1 537 90  0  3
26 41 -4 19 -11  5 46 0 0 0 0 0 0 0 0 0 0     4  0.00   0.0 24.560 22 1.7  4.9 25 7 17 28 552 92  3  1
27 43 19 31   1 11 34 0 0 0 0 0 0 0 0 0 0     4  0.00   0.0 24.390 29 0.9  8.4 38 8 28 31 460 77  8  5
28 45  7 26  -4 10 39 0 0 0 0 0 0 0 0 0 1     3  0.08   2.0 24.380  2 3.4 10.9 37 1 30 36 342 57  7  8
29 17  0  9 -21 -1 56 0 0 0 0 0 0 0 0 0 0     5  0.04   0.7 24.570  6 2.4  5.1 20 2 12  1 562 93  1  4
30 47  8 28  -3  6 37 0 0 0 0 0 0 0 0 0 0     5  0.00   0.0 24.660 26 5.3 10.0 33 7 17 29 591 98  1  1
31 53 20 37   6 12 28 0 0 0 0 0 0 0 0 0 0     4  0.00   0.0 24.830 17 4.7  5.7 17 6 10 19 120 20  9  8
